AdventureWorks2012,Sales         ,vStoreWithContacts               ,BusinessEntityID              ,integer,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,PhoneNumberType               ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,EmailAddress                  ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithContacts              ,EmailPromotion                ,integer,
AdventureWorks2012,HumanResources,Shift                            ,ShiftID                       ,tinyint,
AdventureWorks2012,HumanResources,Shift                            ,Name                          ,nvarchar,
AdventureWorks2012,HumanResources,Shift                            ,StartTime                     ,time,
AdventureWorks2012,HumanResources,Shift                            ,EndTime                       ,time,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,BusinessEntityID              ,integer,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,Name                          ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,AddressType                   ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,AddressLine1                  ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,AddressLine2                  ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,City                          ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,StateProvinceName             ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,PostalCode                    ,nvarchar,
AdventureWorks2012,Purchasing    ,vVendorWithAddresses             ,CountryRegionName             ,nvarchar,
AdventureWorks2012,Production    ,ProductCategory                  ,ProductCategoryID             ,integer,
AdventureWorks2012,Production    ,ProductCategory                  ,Name                          ,nvarchar,
AdventureWorks2012,Purchasing    ,ShipMethod                       ,ShipMethodID                  ,integer,
AdventureWorks2012,Purchasing    ,ShipMethod                       ,Name                          ,nvarchar,
AdventureWorks2012,Production    ,ProductCostHistory               ,ProductID                     ,integer,
AdventureWorks2012,Production    ,ProductCostHistory               ,StartDate                     ,date,
AdventureWorks2012,Production    ,ProductCostHistory               ,EndDate                       ,date,
AdventureWorks2012,Production    ,ProductCostHistory               ,StandardCost                  ,money,
AdventureWorks2012,Production    ,ProductDescription               ,ProductDescriptionID          ,integer,
AdventureWorks2012,Production    ,ProductDescription               ,Description                   ,nvarchar,
AdventureWorks2012,Sales         ,ShoppingCartItem                 ,ShoppingCartItemID            ,integer,
AdventureWorks2012,Sales         ,ShoppingCartItem                 ,ShoppingCartID                ,nvarchar,
AdventureWorks2012,Sales         ,ShoppingCartItem                 ,ProductID                     ,integer,
AdventureWorks2012,Production    ,ProductDocument                  ,ProductID                     ,integer,
AdventureWorks2012,dbo           ,DatabaseLog                      ,DatabaseLogID                 ,integer,
AdventureWorks2012,dbo           ,DatabaseLog                      ,PostTime                      ,date,
AdventureWorks2012,dbo           ,DatabaseLog                      ,DatabaseUser                  ,nvarchar,
AdventureWorks2012,dbo           ,DatabaseLog                      ,Event                         ,nvarchar,
AdventureWorks2012,dbo           ,DatabaseLog                      ,Schema                        ,nvarchar,
AdventureWorks2012,dbo           ,DatabaseLog                      ,Object                        ,nvarchar,
AdventureWorks2012,dbo           ,DatabaseLog                      ,TSQL                          ,nvarchar,
AdventureWorks2012,Production    ,ProductInventory                 ,ProductID                     ,integer,
AdventureWorks2012,Production    ,ProductInventory                 ,LocationID                    ,smallint,
AdventureWorks2012,Production    ,ProductInventory                 ,Shelf                         ,nvarchar,
AdventureWorks2012,Production    ,ProductInventory                 ,Bin                           ,tinyint,
AdventureWorks2012,Sales         ,SpecialOffer                     ,SpecialOfferID                ,integer,
AdventureWorks2012,Sales         ,SpecialOffer                     ,Description                   ,nvarchar,
AdventureWorks2012,Sales         ,SpecialOffer                     ,Type                          ,nvarchar,
AdventureWorks2012,Sales         ,SpecialOffer                     ,Category                      ,nvarchar,
AdventureWorks2012,Sales         ,SpecialOffer                     ,StartDate                     ,date,
AdventureWorks2012,Sales         ,SpecialOffer                     ,EndDate                       ,date,
AdventureWorks2012,Sales         ,SpecialOffer                     ,MaxQty                        ,integer,
AdventureWorks2012,dbo           ,ErrorLog                         ,ErrorLogID                    ,integer,
AdventureWorks2012,dbo           ,ErrorLog                         ,UserName                      ,nvarchar,
AdventureWorks2012,dbo           ,ErrorLog                         ,ErrorNumber                   ,integer,
AdventureWorks2012,dbo           ,ErrorLog                         ,ErrorSeverity                 ,integer,
AdventureWorks2012,dbo           ,ErrorLog                         ,ErrorState                    ,integer,
AdventureWorks2012,dbo           ,ErrorLog                         ,ErrorProcedure                ,nvarchar,
AdventureWorks2012,dbo           ,ErrorLog                         ,ErrorLine                     ,integer,
AdventureWorks2012,dbo           ,ErrorLog                         ,ErrorMessage                  ,nvarchar,
AdventureWorks2012,Production    ,ProductListPriceHistory          ,ProductID                     ,integer,
AdventureWorks2012,Production    ,ProductListPriceHistory          ,StartDate                     ,date,
AdventureWorks2012,Production    ,ProductListPriceHistory          ,EndDate                       ,date,
AdventureWorks2012,Production    ,ProductListPriceHistory          ,ListPrice                     ,money,
AdventureWorks2012,Person        ,Address                          ,AddressID                     ,integer,
AdventureWorks2012,Person        ,Address                          ,AddressLine1                  ,nvarchar,
AdventureWorks2012,Person        ,Address                          ,AddressLine2                  ,nvarchar,
AdventureWorks2012,Person        ,Address                          ,City                          ,nvarchar,
AdventureWorks2012,Person        ,Address                          ,StateProvinceID               ,integer,
AdventureWorks2012,Person        ,Address                          ,PostalCode                    ,nvarchar,
AdventureWorks2012,Sales         ,SpecialOfferProduct              ,SpecialOfferID                ,integer,
AdventureWorks2012,Sales         ,SpecialOfferProduct              ,ProductID                     ,integer,
AdventureWorks2012,Production    ,ProductModel                     ,ProductModelID                ,integer,
AdventureWorks2012,Production    ,ProductModel                     ,Name                          ,nvarchar,
AdventureWorks2012,Person        ,AddressType                      ,AddressTypeID                 ,integer,
AdventureWorks2012,Person        ,AddressType                      ,Name                          ,nvarchar,
AdventureWorks2012,Person        ,StateProvince                    ,StateProvinceID               ,integer,
AdventureWorks2012,Person        ,StateProvince                    ,StateProvinceCode             ,nvarchar,
AdventureWorks2012,Person        ,StateProvince                    ,CountryRegionCode             ,nvarchar,
AdventureWorks2012,Person        ,StateProvince                    ,Name                          ,nvarchar,
AdventureWorks2012,Person        ,StateProvince                    ,TerritoryID                   ,integer,
AdventureWorks2012,Production    ,ProductModelIllustration         ,ProductModelID                ,integer,
AdventureWorks2012,Production    ,ProductModelIllustration         ,IllustrationID                ,integer,
AdventureWorks2012,dbo           ,AWBuildVersion                   ,SystemInformationID           ,tinyint,
AdventureWorks2012,dbo           ,AWBuildVersion                   ,DatabaseVersion               ,nvarchar,
AdventureWorks2012,dbo           ,AWBuildVersion                   ,VersionDate                   ,date,
AdventureWorks2012,Production    ,BillOfMaterials                  ,BillOfMaterialsID             ,integer,
AdventureWorks2012,Production    ,BillOfMaterials                  ,ProductAssemblyID             ,integer,
AdventureWorks2012,Production    ,BillOfMaterials                  ,ComponentID                   ,integer,
AdventureWorks2012,Production    ,BillOfMaterials                  ,EndDate                       ,date,
AdventureWorks2012,Production    ,BillOfMaterials                  ,UnitMeasureCode               ,nvarchar,
AdventureWorks2012,Production    ,BillOfMaterials                  ,BOMLevel                      ,smallint,
AdventureWorks2012,Sales         ,Store                            ,BusinessEntityID              ,integer,
AdventureWorks2012,Sales         ,Store                            ,Name                          ,nvarchar,
AdventureWorks2012,Sales         ,Store                            ,SalesPersonID                 ,integer,
AdventureWorks2012,Production    ,ProductPhoto                     ,ProductPhotoID                ,integer,
AdventureWorks2012,Production    ,ProductPhoto                     ,ThumbnailPhotoFileName        ,nvarchar,
AdventureWorks2012,Production    ,ProductPhoto                     ,LargePhotoFileName            ,nvarchar,
AdventureWorks2012,Production    ,ProductProductPhoto              ,ProductID                     ,integer,
AdventureWorks2012,Production    ,ProductProductPhoto              ,ProductPhotoID                ,integer,
AdventureWorks2012,Production    ,TransactionHistory               ,TransactionID                 ,integer,
AdventureWorks2012,Production    ,TransactionHistory               ,ProductID                     ,integer,
AdventureWorks2012,Production    ,TransactionHistory               ,ReferenceOrderID              ,integer,
AdventureWorks2012,Production    ,TransactionHistory               ,TransactionType               ,nvarchar,
AdventureWorks2012,Production    ,TransactionHistory               ,Quantity                      ,integer,
AdventureWorks2012,Production    ,TransactionHistory               ,ActualCost                    ,money,
AdventureWorks2012,Production    ,ProductReview                    ,ProductReviewID               ,integer,
AdventureWorks2012,Production    ,ProductReview                    ,ProductID                     ,integer,
AdventureWorks2012,Production    ,ProductReview                    ,ReviewerName                  ,nvarchar,
AdventureWorks2012,Production    ,ProductReview                    ,EmailAddress                  ,nvarchar,
AdventureWorks2012,Production    ,ProductReview                    ,Rating                        ,integer,
AdventureWorks2012,Production    ,ProductReview                    ,Comments                      ,nvarchar,
AdventureWorks2012,Person        ,BusinessEntity                   ,BusinessEntityID              ,integer,
AdventureWorks2012,Production    ,TransactionHistoryArchive        ,TransactionID                 ,integer,
AdventureWorks2012,Production    ,TransactionHistoryArchive        ,ProductID                     ,integer,
AdventureWorks2012,Production    ,TransactionHistoryArchive        ,ReferenceOrderID              ,integer,
AdventureWorks2012,Production    ,TransactionHistoryArchive        ,TransactionType               ,nvarchar,
AdventureWorks2012,Production    ,TransactionHistoryArchive        ,Quantity                      ,integer,
AdventureWorks2012,Production    ,TransactionHistoryArchive        ,ActualCost                    ,money,
AdventureWorks2012,Production    ,ProductSubcategory               ,ProductSubcategoryID          ,integer,
AdventureWorks2012,Production    ,ProductSubcategory               ,ProductCategoryID             ,integer,
AdventureWorks2012,Production    ,ProductSubcategory               ,Name                          ,nvarchar,
AdventureWorks2012,Person        ,BusinessEntityAddress            ,BusinessEntityID              ,integer,
AdventureWorks2012,Person        ,BusinessEntityAddress            ,AddressID                     ,integer,
AdventureWorks2012,Person        ,BusinessEntityAddress            ,AddressTypeID                 ,integer,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,ProductID                     ,integer,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,BusinessEntityID              ,integer,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,AverageLeadTime               ,integer,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,StandardPrice                 ,money,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,LastReceiptCost               ,money,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,LastReceiptDate               ,date,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,MinOrderQty                   ,integer,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,MaxOrderQty                   ,integer,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,OnOrderQty                    ,integer,
AdventureWorks2012,Purchasing    ,ProductVendor                    ,UnitMeasureCode               ,nvarchar,
AdventureWorks2012,Person        ,BusinessEntityContact            ,BusinessEntityID              ,integer,
AdventureWorks2012,Person        ,BusinessEntityContact            ,PersonID                      ,integer,
AdventureWorks2012,Person        ,BusinessEntityContact            ,ContactTypeID                 ,integer,
AdventureWorks2012,Production    ,UnitMeasure                      ,UnitMeasureCode               ,nvarchar,
AdventureWorks2012,Production    ,UnitMeasure                      ,Name                          ,nvarchar,
AdventureWorks2012,Purchasing    ,Vendor                           ,BusinessEntityID              ,integer,
AdventureWorks2012,Purchasing    ,Vendor                           ,AccountNumber                 ,nvarchar,
AdventureWorks2012,Purchasing    ,Vendor                           ,Name                          ,nvarchar,
AdventureWorks2012,Purchasing    ,Vendor                           ,CreditRating                  ,tinyint,
AdventureWorks2012,Purchasing    ,Vendor                           ,PurchasingWebServiceURL       ,nvarchar,
AdventureWorks2012,Person        ,ContactType                      ,ContactTypeID                 ,integer,
AdventureWorks2012,Person        ,ContactType                      ,Name                          ,nvarchar,
AdventureWorks2012,Sales         ,CountryRegionCurrency            ,CountryRegionCode             ,nvarchar,
AdventureWorks2012,Sales         ,CountryRegionCurrency            ,CurrencyCode                  ,nvarchar,
AdventureWorks2012,Person        ,CountryRegion                    ,CountryRegionCode             ,nvarchar,
AdventureWorks2012,Person        ,CountryRegion                    ,Name                          ,nvarchar,
AdventureWorks2012,Production    ,WorkOrder                        ,WorkOrderID                   ,integer,
AdventureWorks2012,Production    ,WorkOrder                        ,ProductID                     ,integer,
AdventureWorks2012,Production    ,WorkOrder                        ,OrderQty                      ,integer,
AdventureWorks2012,Production    ,WorkOrder                        ,StockedQty                    ,integer,
AdventureWorks2012,Production    ,WorkOrder                        ,ScrappedQty                   ,smallint,
AdventureWorks2012,Production    ,WorkOrder                        ,StartDate                     ,date,
AdventureWorks2012,Production    ,WorkOrder                        ,EndDate                       ,date,
AdventureWorks2012,Production    ,WorkOrder                        ,DueDate                       ,date,
AdventureWorks2012,Production    ,WorkOrder                        ,ScrapReasonID                 ,smallint,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,PurchaseOrderID               ,integer,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,PurchaseOrderDetailID         ,integer,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,DueDate                       ,date,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,OrderQty                      ,smallint,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,ProductID                     ,integer,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,UnitPrice                     ,money,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,LineTotal                     ,money,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,ReceivedQty                   ,decimal,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,RejectedQty                   ,decimal,
AdventureWorks2012,Purchasing    ,PurchaseOrderDetail              ,StockedQty                    ,decimal,
AdventureWorks2012,Sales         ,CreditCard                       ,CreditCardID                  ,integer,
AdventureWorks2012,Sales         ,CreditCard                       ,CardType                      ,nvarchar,
AdventureWorks2012,Sales         ,CreditCard                       ,CardNumber                    ,nvarchar,
AdventureWorks2012,Sales         ,CreditCard                       ,ExpMonth                      ,tinyint,
AdventureWorks2012,Sales         ,CreditCard                       ,ExpYear                       ,smallint,
AdventureWorks2012,Production    ,Culture                          ,CultureID                     ,nvarchar,
AdventureWorks2012,Production    ,Culture                          ,Name                          ,nvarchar,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,WorkOrderID                   ,integer,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,ProductID                     ,integer,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,OperationSequence             ,smallint,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,LocationID                    ,smallint,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,ScheduledStartDate            ,date,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,ScheduledEndDate              ,date,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,ActualStartDate               ,date,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,ActualEndDate                 ,date,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,ActualResourceHrs             ,decimal,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,PlannedCost                   ,money,
AdventureWorks2012,Production    ,WorkOrderRouting                 ,ActualCost                    ,money,
AdventureWorks2012,Sales         ,Currency                         ,CurrencyCode                  ,nvarchar,
AdventureWorks2012,Sales         ,Currency                         ,Name                          ,nvarchar,
AdventureWorks2012,Purchasing    ,PurchaseOrderHeader              ,PurchaseOrderID               ,integer,
AdventureWorks2012,Purchasing    ,PurchaseOrderHeader              ,EmployeeID                    ,integer,
AdventureWorks2012,Purchasing    ,PurchaseOrderHeader              ,VendorID                      ,integer,
AdventureWorks2012,Purchasing    ,PurchaseOrderHeader              ,ShipMethodID                  ,integer,
AdventureWorks2012,Purchasing    ,PurchaseOrderHeader              ,ShipDate                      ,date,
AdventureWorks2012,Purchasing    ,PurchaseOrderHeader              ,TotalDue                      ,money,
AdventureWorks2012,Sales         ,CurrencyRate                     ,CurrencyRateID                ,integer,
AdventureWorks2012,Sales         ,CurrencyRate                     ,CurrencyRateDate              ,date,
AdventureWorks2012,Sales         ,CurrencyRate                     ,FromCurrencyCode              ,nvarchar,
AdventureWorks2012,Sales         ,CurrencyRate                     ,ToCurrencyCode                ,nvarchar,
AdventureWorks2012,Sales         ,CurrencyRate                     ,AverageRate                   ,money,
AdventureWorks2012,Sales         ,CurrencyRate                     ,EndOfDayRate                  ,money,
AdventureWorks2012,Sales         ,Customer                         ,CustomerID                    ,integer,
AdventureWorks2012,Sales         ,Customer                         ,PersonID                      ,integer,
AdventureWorks2012,Sales         ,Customer                         ,StoreID                       ,integer,
AdventureWorks2012,Sales         ,Customer                         ,TerritoryID                   ,integer,
AdventureWorks2012,Sales         ,Customer                         ,AccountNumber                 ,varchar
AdventureWorks2012,HumanResources,Department                       ,DepartmentID                  ,smallint,
AdventureWorks2012,HumanResources,Department                       ,Name                          ,nvarchar,
AdventureWorks2012,HumanResources,Department                       ,GroupName                     ,nvarchar,
AdventureWorks2012,Production    ,Document                         ,DocumentLevel                 ,smallint,
AdventureWorks2012,Production    ,Document                         ,Title                         ,nvarchar,
AdventureWorks2012,Production    ,Document                         ,Owner                         ,integer,
AdventureWorks2012,Production    ,Document                         ,FileName                      ,nvarchar,
AdventureWorks2012,Production    ,Document                         ,FileExtension                 ,nvarchar,
AdventureWorks2012,Production    ,Document                         ,Revision                      ,nvarchar,
AdventureWorks2012,Production    ,Document                         ,Status                        ,tinyint,
AdventureWorks2012,Production    ,Document                         ,DocumentSummary               ,nvarchar,
AdventureWorks2012,Production    ,Document                         ,Document                      ,varbinary
AdventureWorks2012,Sales         ,SalesOrderDetail                 ,SalesOrderID                  ,integer,
AdventureWorks2012,Sales         ,SalesOrderDetail                 ,SalesOrderDetailID            ,integer,
AdventureWorks2012,Sales         ,SalesOrderDetail                 ,CarrierTrackingNumber         ,nvarchar,
AdventureWorks2012,Sales         ,SalesOrderDetail                 ,OrderQty                      ,smallint,
AdventureWorks2012,Sales         ,SalesOrderDetail                 ,ProductID                     ,integer,
AdventureWorks2012,Sales         ,SalesOrderDetail                 ,SpecialOfferID                ,integer,
AdventureWorks2012,Sales         ,SalesOrderDetail                 ,UnitPrice                     ,money,
AdventureWorks2012,Person        ,EmailAddress                     ,BusinessEntityID              ,integer,
AdventureWorks2012,Person        ,EmailAddress                     ,EmailAddressID                ,integer,
AdventureWorks2012,Person        ,EmailAddress                     ,EmailAddress                  ,nvarchar,
AdventureWorks2012,HumanResources,Employee                         ,BusinessEntityID              ,integer,
AdventureWorks2012,HumanResources,Employee                         ,NationalIDNumber              ,nvarchar,
AdventureWorks2012,HumanResources,Employee                         ,LoginID                       ,nvarchar,
AdventureWorks2012,HumanResources,Employee                         ,OrganizationLevel             ,smallint,
AdventureWorks2012,HumanResources,Employee                         ,JobTitle                      ,nvarchar,
AdventureWorks2012,HumanResources,Employee                         ,BirthDate                     ,date,
AdventureWorks2012,HumanResources,Employee                         ,MaritalStatus                 ,nvarchar,
AdventureWorks2012,HumanResources,Employee                         ,Gender                        ,nvarchar,
AdventureWorks2012,HumanResources,Employee                         ,HireDate                      ,date,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,SalesOrderID                  ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,DueDate                       ,date,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,ShipDate                      ,date,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,SalesOrderNumber              ,nvarchar,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,PurchaseOrderNumber           ,nvarchar,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,AccountNumber                 ,nvarchar,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,CustomerID                    ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,SalesPersonID                 ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,TerritoryID                   ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,BillToAddressID               ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,ShipToAddressID               ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,ShipMethodID                  ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,CreditCardID                  ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,CreditCardApprovalCode        ,varchar
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,CurrencyRateID                ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,TotalDue                      ,money,
AdventureWorks2012,Sales         ,SalesOrderHeader                 ,Comment                       ,nvarchar,
AdventureWorks2012,HumanResources,EmployeeDepartmentHistory        ,BusinessEntityID              ,integer,
AdventureWorks2012,HumanResources,EmployeeDepartmentHistory        ,DepartmentID                  ,smallint,
AdventureWorks2012,HumanResources,EmployeeDepartmentHistory        ,ShiftID                       ,tinyint,
AdventureWorks2012,HumanResources,EmployeeDepartmentHistory        ,StartDate                     ,date,
AdventureWorks2012,HumanResources,EmployeeDepartmentHistory        ,EndDate                       ,date,
AdventureWorks2012,HumanResources,EmployeePayHistory               ,BusinessEntityID              ,integer,
AdventureWorks2012,HumanResources,EmployeePayHistory               ,RateChangeDate                ,date,
AdventureWorks2012,HumanResources,EmployeePayHistory               ,Rate                          ,money,
AdventureWorks2012,HumanResources,EmployeePayHistory               ,PayFrequency                  ,tinyint,
AdventureWorks2012,Sales         ,SalesOrderHeaderSalesReason      ,SalesOrderID                  ,integer,
AdventureWorks2012,Sales         ,SalesOrderHeaderSalesReason      ,SalesReasonID                 ,integer,
AdventureWorks2012,Sales         ,SalesPerson                      ,BusinessEntityID              ,integer,
AdventureWorks2012,Sales         ,SalesPerson                      ,TerritoryID                   ,integer,
AdventureWorks2012,Sales         ,SalesPerson                      ,SalesQuota                    ,money,
AdventureWorks2012,Production    ,Illustration                     ,IllustrationID                ,integer,
AdventureWorks2012,HumanResources,JobCandidate                     ,JobCandidateID                ,integer,
AdventureWorks2012,HumanResources,JobCandidate                     ,BusinessEntityID              ,integer,
AdventureWorks2012,Production    ,Location                         ,LocationID                    ,smallint,
AdventureWorks2012,Production    ,Location                         ,Name                          ,nvarchar,
AdventureWorks2012,Person        ,Password                         ,BusinessEntityID              ,integer,
AdventureWorks2012,Person        ,Password                         ,PasswordHash                  ,nvarchar,
AdventureWorks2012,Person        ,Password                         ,PasswordSalt                  ,nvarchar,
AdventureWorks2012,Sales         ,SalesPersonQuotaHistory          ,BusinessEntityID              ,integer,
AdventureWorks2012,Sales         ,SalesPersonQuotaHistory          ,QuotaDate                     ,date,
AdventureWorks2012,Sales         ,SalesPersonQuotaHistory          ,SalesQuota                    ,money,
AdventureWorks2012,Person        ,Person                           ,BusinessEntityID              ,integer,
AdventureWorks2012,Person        ,Person                           ,PersonType                    ,nvarchar,
AdventureWorks2012,Person        ,Person                           ,Title                         ,nvarchar,
AdventureWorks2012,Person        ,Person                           ,FirstName                     ,nvarchar,
AdventureWorks2012,Person        ,Person                           ,MiddleName                    ,nvarchar,
AdventureWorks2012,Person        ,Person                           ,LastName                      ,nvarchar,
AdventureWorks2012,Person        ,Person                           ,Suffix                        ,nvarchar,
AdventureWorks2012,Sales         ,SalesReason                      ,SalesReasonID                 ,integer,
AdventureWorks2012,Sales         ,SalesReason                      ,Name                          ,nvarchar,
AdventureWorks2012,Sales         ,SalesReason                      ,ReasonType                    ,nvarchar,
AdventureWorks2012,Sales         ,SalesTaxRate                     ,SalesTaxRateID                ,integer,
AdventureWorks2012,Sales         ,SalesTaxRate                     ,StateProvinceID               ,integer,
AdventureWorks2012,Sales         ,SalesTaxRate                     ,TaxType                       ,tinyint,
AdventureWorks2012,Sales         ,SalesTaxRate                     ,Name                          ,nvarchar,
AdventureWorks2012,Sales         ,PersonCreditCard                 ,BusinessEntityID              ,integer,
AdventureWorks2012,Sales         ,PersonCreditCard                 ,CreditCardID                  ,integer,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,BusinessEntityID              ,integer,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,FirstName                     ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,MiddleName                    ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,LastName                      ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,TelephoneNumber               ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,TelephoneSpecialInstructions  ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,Street                        ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,City                          ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,StateProvince                 ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,PostalCode                    ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,CountryRegion                 ,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,HomeAddressSpecialInstructions,nvarchar,
AdventureWorks2012,Person        ,vAdditionalContactInfo           ,EMailAddress                  ,nvarchar,
